subj_id,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,word_count,giant component,k avg,clustering,density,entropy,disssortativity,k std
4129,0.0,1.0,0.0,5.0,5.0,4.5,2.5,5.0,30.0,0.0,1,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",8,1.0,1.5,0.0,0.5,0.4393743703526205,1.0,1.0
4132,1.0,1.0,1.0,5.5,6.0,6.5,3.0,6.5,25.0,1.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",10,1.0,1.6,0.0,0.4,0.6378723516343402,0.6666666666666666,0.8944271909999159
4133,3.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,47.0,1.0,1,V161078_stats,"{'node_count': 6, 'edge_count': 5, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.250000000000004, 'k avg': 1.6666666666666667, 'k std': 0.5163977794943222, 'entropy': 0.38289400293653997, 'density': 0.3333333333333333}",11,1.0,1.6666666666666667,0.0,0.3333333333333333,0.38289400293653997,0.250000000000004,0.5163977794943222
4136,0.0,0.0,0.0,3.5,6.5,7.0,3.5,6.0,26.0,1.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",4,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4138,2.0,1.0,1.0,5.5,2.5,4.5,3.0,3.0,30.0,1.0,1,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",10,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4147,2.0,,0.0,,,,,,68.0,0.0,1,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",7,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4150,0.0,2.0,0.0,4.5,6.5,7.0,2.0,6.5,27.0,1.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3333333333333333, 'k avg': 1.6, 'k std': 0.5477225575051661, 'entropy': 0.45176138477252686, 'density': 0.4}",10,1.0,1.6,0.0,0.4,0.45176138477252686,0.3333333333333333,0.5477225575051661
4154,3.0,3.0,1.0,4.5,5.5,5.0,3.5,6.5,,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",5,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4155,5.0,1.0,0.0,5.0,5.0,6.0,3.0,5.0,41.0,1.0,2,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",8,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4159,0.0,2.0,0.5,4.0,6.5,6.0,2.0,7.0,,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 2, 'clustering': 0.0, 'giant component': 0.75, 'disssortativity': 1.0, 'k avg': 1.0, 'k std': 0.816496580927726, 'entropy': 0.8123743703410189, 'density': 0.3333333333333333}",12,0.75,1.0,0.0,0.3333333333333333,0.8123743703410189,1.0,0.816496580927726
4160,2.0,1.0,0.0,4.0,6.0,7.0,2.0,6.0,41.0,0.0,2,V161078_stats,"{'node_count': 4, 'edge_count': 2, 'clustering': 0.0, 'giant component': 0.75, 'disssortativity': 1.0, 'k avg': 1.0, 'k std': 0.816496580927726, 'entropy': 0.8123743703410189, 'density': 0.3333333333333333}",8,0.75,1.0,0.0,0.3333333333333333,0.8123743703410189,1.0,0.816496580927726
4167,0.0,3.0,0.0,4.0,6.5,7.0,3.5,4.5,64.0,0.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6666666666666666, 'k avg': 1.6, 'k std': 0.8944271909999159, 'entropy': 0.6378723516343402, 'density': 0.4}",6,1.0,1.6,0.0,0.4,0.6378723516343402,0.6666666666666666,0.8944271909999159
4168,2.0,2.0,0.0,6.0,6.5,6.0,2.0,5.0,,1.0,2,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",9,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4172,2.0,3.0,0.0,3.0,7.0,6.5,1.0,7.0,46.0,0.0,2,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",5,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4175,5.0,2.0,0.5,2.0,5.0,7.0,4.0,3.0,49.0,1.0,3,V161078_stats,"{'node_count': 4, 'edge_count': 2, 'clustering': 0.0, 'giant component': 0.75, 'disssortativity': 1.0, 'k avg': 1.0, 'k std': 0.816496580927726, 'entropy': 0.8123743703410189, 'density': 0.3333333333333333}",13,0.75,1.0,0.0,0.3333333333333333,0.8123743703410189,1.0,0.816496580927726
4181,2.0,2.0,0.5,3.0,6.5,7.0,2.5,6.0,71.0,1.0,3,V161078_stats,"{'node_count': 5, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3333333333333333, 'k avg': 1.6, 'k std': 0.5477225575051661, 'entropy': 0.45176138477252686, 'density': 0.4}",6,1.0,1.6,0.0,0.4,0.45176138477252686,0.3333333333333333,0.5477225575051661
4186,2.0,2.0,0.0,1.5,4.0,6.0,4.0,5.5,62.0,0.0,2,V161078_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4999999999999988, 'k avg': 1.5, 'k std': 0.5773502691896257, 'entropy': 0.5415829135606792, 'density': 0.5}",12,1.0,1.5,0.0,0.5,0.5415829135606792,0.4999999999999988,0.5773502691896257
4193,1.0,,0.0,,,,,,30.0,0.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",7,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
4197,0.0,2.0,1.0,5.0,6.0,7.0,3.0,7.0,35.0,1.0,3,V161078_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",11,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
