V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
645,301564,29,1,3,1,2,.5,6.5,4,6.5,2.5,6,HER POLICY PORPOSALS WITH RESPECT TO CHILDREN HEALTH CARE LIFTING THE GLASS CEILING EXPERIENCCE DEALING WITH FOREIGN AFFAIRS AND SEE A WOMAN WIN THE PRESIDENCY IN MY LIFETIME,SHE IS A CAREER POLITICIAL AND I WOULD HAVE LIKE TO SEEN SOME CANDIDATES WHO HAVE NOT BEEN IN THE POLITICAL WORLD AS LONG AS SHEE HAS AND SHE HAS ALREADY BEEN IN THE WHITE HOUSE AS THE FIRST LADY,,HE IS A LIAR NOT FIT TO RUN THIS COUNTRY I DO NOT FIND HIM ETHICAL I FIND HIM IRRATIONAL I AM HAVING A HARD TIME UNDERSTANDING HIS PLATFORM AND WHAT HE PLANS ON DOING I THINK HE IS TARGETING MINORITIES IN A NEGATIVE WAY AND I FEEL THAT HE IS NOT RESPECTFUL TO WOMEN AND DOES NOT VIEW THE TWO GENDERS AS EQUAL,"POLICIES THAT OFFER OPPORTUNTIES AND GROWTH FOR THE MIDDLE CLASS, EDUCATION, ECONOMIC ASSISTANCE FOR SMALL BUSINESS, POLICIES THAT TARGET POOR, DIPLOMACY RATHER THAN IMMEDIATE CONFLICT,","SOMETIMES THEY HAVE ALL THESE PROGRAMS THAT ARE VERY WELL INTENDED BUT I DON'T AGREE WITH THE WAY THEY ARE RUN, VERY  ANTI-DRUG LIKE MARIJUANA, WELFARE PROGRAMS SHOULD BE DRUG TESTED AND GOVERNMENT MONEY IS GOING TO PROGRAMS THAT I DON'T APPROVE OF, HOW TO PAY FOR ADDITIONAL PROGRAMS THAT SOUND GREAT","SAME SEX MARRIAGE OPPOSITION, SOME THE ANTI-IMMIGRATION POLIICIES BUT NOT ALL OF THEIR PROPOSALS","PRO LIFE VIEWS, GUN CONTROL AND INVOLVEMENT WITH THE NRA THE BIG TAX CUTS THAT THEY WANT TO OFFER THE WEALTHY AND HUGE INCENTIVES THAT THEY WANT TO OFFER BIG BUSINESSES"
646,301566,49,0,2,4,2,0,4,5,6,2,4.5,,TOO SCANDALOUS///ABVOE THE LAW//SHE SHOULD ANSWER FOR HER CRIMES//EVERYTHING THAT SHE HAS DONE SINCE SHE WAS IN ARKANSAS//,HE IS NOT A CAREER POLITICIAN//NOT OUT TO CAUSE THIS COUNTRY ANY HARM//READY FOR A CHANGE//,,,THE PATH THEY ARE TRYING TO TAKE OUR COUNTRY DOWN//,THE REPUBLICANS ARE FOR THE PEOPLE//,
647,301567,39,0,1,1,1,0,3.5,5,5,4.5,5.5,she is a democrat//,some of her policies about prison population\\,"his buisness ethics\\ get business off the round, he's made a real job of that, who knows\\",is he running a scam just to win or is he not.\\,they seem like they are more for the less fortunate than the fortunate\\,sometimes it is hard to tell are they republicans or are they democrats\\,,they like to carve up the house and the senate and not pass any laws\\
648,301570,62,0,2,5,1,0,2,6,4,6,5.5,,"LACK OF TRUST, HER PAST HISTORY, CAUGHT HER LYING, TRYNG TO GET OUT OF IT, DISTRUST//T","IFLUENCE, KNOWLEDGE, POWER, GETTING THIS DONE//","ARROGENCE, POWER//",,THEY TAKE FOREVER TO GET ANYTHING DONE//,GETTING THINGS DONE,"PROCRASTINATING, TAKES TOO LONG TO GET THINGS DONE//"
649,301572,57,1,2,0,3,0,7,5,7,1.5,6,The Clintons when he was President in the nineties the economy was good and you had extra money.////,,,That he is so negative but I think that he is a hypocrite.//Name calling like he is a kid his behavior is juvenile.//I don't like his devisiveness.  Our country does not need that.He is very negative and I don't like the adage of playing people against people. If Romney were running I think I would vote for him but not Trump. //,"The Democrats, I believe, are more for the people. Most people don't want more government in their life but they make programs to help the poor.//",,I like their economical programs to get us out of debt. They are budget driven.//,The negative ads.//
650,301580,24,0,3,0,,0,,,,,,I feel like she is a better candidate and has the most experience//,,,He doesn't hve experience and i don't theink he is fit//,,,,thatthey support trump//
651,301583,66,0,1,0,2,0,3.5,6.5,6,2.5,4.5,shes been tested well and she has been doing the her job real good now and they get her extra hardship by being a woman,,remembers when his dad and him,when him and his dad started there company he had a lot of discrimination issues and he does not believe he has americas best interest,trying to help the working man,they don't help the lowest of income people or the poorest of people,,everything they want to do is always for the wealthy
652,301584,77,0,3,3,3,0,5,5.5,6.5,2,6,extensive qualifications due to experience//she has a very strong character//,sense of entitlemnt and ignore conditions in the workplace.Sense of entitlement which allows her to stretch the boundaries of acceptable practices//Her charitable foundation appears to be something that bears investigation//she used state department as a means to gaining contributions to her foundation//,he is talented in creating organizations that are capable of achieving great results in his profession//,i believe he is totally unqualified for the position of president//,they appear to have more compassion for the downtrodden. Their professment of care//,i believe there are many aspects where they make statements that investigation would support//,Like support of military and do know what Obama is doing to miltary pay and healthcare//,Excess of zeal on the second amendment//
653,301589,58,1,2,0,2,0,5.5,7,7,1.5,6.5,"i think she is for the middle class citizen like myself, i like the experience she has had in Washington dc\\",,,"no experience, i do like hhis looks, he is cras, just says thinks off the cuff and does not think about what he is saying, he is an asshole, he is a womanizer, i don't see him sitting across from diplomats and seeing him diplomatic\\","i like that they are for the middle and lower income folkkks that need the help and I think the democarts are more for them, and students and student loans.\\ how they want to do the taxes\\",,,they allow the weathy people to put their money in other countries they do not want the rich to pay their taxes and they outsource jobs to other countries and tkae that away from america\\
654,301590,31,0,1,4,1,0,4.5,3,4,5,5.5,,told lies and bengazi and emails starts her off on the wrong foot,becuase he will run the country like a business,poor attitude towards stuff he does not support and unwillingness to listen,,,,
655,301594,59,0,3,6,3,0,4.5,5,5.5,3,6,If I had to say something good about her he is knowledgable and has a high IQ,I think she is real dishonest//ANd I do not think she is very effective and she has blundered pretty much everything she has put her hands on//,,"Before he even ran for President, he liked to be called The Donand.  He used to make his wives call him The Donald and that exemplifies his overall personality//Overall he is a loose cannon//He is very immature//He has chosen a low road in terms of leadership and he just goes to people's fears and the only reason he does that is to et people to vote for him//He has a hue ego","I like the fact that they seem to whether practical or not seem to care about things, people and the environment// I think that they are I guess thatis about all I can say//I would also say that they many of them honeslty beleive that government can do good things//",I think that there are a lot of dishonest ones and I think they can be a bit impractical and naive//,"I think that they generally they really care about te United States which I think is a good thing.  I think generally they are they believe in freedom and I think that they have, a beleif in commerce","I think the leaders tend to be demagouges and I think they act in very fearful ways//I do feel that, how should I say this that some Republicans but not all give the Republicans black eyes because there are some that give off bad impressions that they are racist or hateful to the general populice and that bothers me and that bothers me"
656,301596,59,1,2,4,3,.5,4,5.5,5.5,2.5,4,,"She should be convicted.  She should be in prison.  I don't agree with any of her policies.  I'am against Obamacare.  She Lies.  She is crooked.  Iam for the police. I am for the military.  I've changed a lot of my views because of her.  I am for Religion.  I want to pray where I want and not be condemned for it.//She is above thew law, even with the FBI, even with our president.","His issues.  He's strong.  He'll be a strong leader.  Pro life, infrastructure, the military, healthcare reform, jobs economy, religious freedom. Supreme court jusctice, border control, second ammendment.",I'm not fond of the things he says.,,They're just crooked.//  They only answer to their lobbyists.  They are not for us.,,They don't staND STRONG.  tHEY CAN'T MAKE A DECISION. They don't support their candidate.
657,301598,23,1,1,3,1,0,5,4,5,3,5.5,,yes we are women but I feel she would take advantage of it being the first woman president//,,I don't like his stand onafrican amreicans//I feel like people that wrerent born there are really a US citizen//,,,,
658,301601,56,0,2,3,3,0,1.5,6,2,2.5,5,,situation where she had noone come to help those guys in the embassy,,,,,try to get people off welfare 8 to 10 years ago,
659,301602,34,1,2,0,,0,,,,,,based on her competition,email scandal,,"he not sensitive about immigration, liar, filed bankruptcy","striving to make healthcare affordable, tax breaks for middle class//",,,dont allow certain laws to pass because obama is black
660,301603,44,0,3,4,3,.5,1.5,7,7,3,6,"I guess she might be more compassionate on some of th esocial issues. She might have more experience in certain, obviously with all of her political experience she has more political experiene in that area. The benefits of that would be good. But, I also think there might be some corruption. But, just for the experience factor, I think that might be a positive factor for her. //","Yeah, her stance on some issues I don't agree with. So for those issues, I probably wouldn't vote for her. //",I think just someone who is might have some influence in changing some of the political structures; like with the lobbyists; someone who would send a message that I as a voter would like to see some change in the political system//,"I don't know that he is, i don't know what th eowrd is; the most reponsible or um, has the maturity for somebody to work with a lot of people. // um. Yeah, just that he's too argumentative and um doesn't really...speaks before he thinks too much of the time. //","I like that they have concern for the poor and the social, a lot of the social programs, I think are good. Um, you know, concern for the environment. //","Yeah, I think some of the some specific issues that I don't agree with. Um, and some of the foreign policy. //","Um, yeah, I guess the um...they are stronger on defense and security. They are more pro military I feel like. And, there are certain issues I agree with more that are in the Republican camp than in the Democrat camp. //","I feel like the Wall Street lobbyists are really with both parties, but it may be a little heavier with the Republican party. And, they might take too hard of a stance with certain issues. //"
