45,7,2,2012
45,7,3,2294
45,7,4,2373
45,7,5,2418
45,7,6,2581
45,7,7,2531
45,7,8,2587
45,7,9,2638
45,7,10,2805
45,7,15,380
45,7,20,3077
45,7,25,957
45,8,2,1968
45,8,3,2246
45,8,4,2393
45,8,5,2495
45,8,6,2617
45,8,7,2535
45,8,8,2593
45,8,9,2692
45,8,10,2886
45,8,15,380
45,8,20,3021
45,8,25,957
45,9,2,1909
45,9,3,2304
45,9,4,2388
45,9,5,2551
45,9,6,2572
45,9,7,2413
45,9,8,2583
45,9,9,2681
45,9,10,2891
45,9,15,380
45,9,20,3021
45,9,25,957
45,10,2,1971
45,10,3,2293
45,10,4,2409
45,10,5,2518
45,10,6,2404
45,10,7,2432
45,10,8,2547
45,10,9,2713
45,10,10,326
45,10,15,380
45,10,20,3001
45,10,25,957
45,15,2,1956
45,15,3,2069
45,15,4,2349
45,15,5,2395
45,15,6,2415
45,15,7,2616
45,15,8,2657
45,15,9,389
45,15,10,326
45,15,15,2930
45,15,20,2908
45,15,25,957
45,20,2,2090
45,20,3,2149
45,20,4,2308
45,20,5,2399
45,20,6,2505
45,20,7,2553
45,20,8,2667
45,20,9,2710
45,20,10,2889
45,20,15,2679
45,20,20,2880
45,20,25,957
45,25,2,2150
45,25,3,2255
45,25,4,2285
45,25,5,2454
45,25,6,2497
45,25,7,2485
45,25,8,2587
45,25,9,2664
45,25,10,2741
45,25,15,2876
45,25,20,2934
45,25,25,957
50,2,2,2131
50,2,3,2375
50,2,4,2431
50,2,5,2602
50,2,6,2775
50,2,7,2661
50,2,8,2890
50,2,9,2885
50,2,10,2885
50,2,15,3066
50,2,20,318
50,2,25,3232
50,3,2,2103
50,3,3,2334
50,3,4,2436
50,3,5,2533
50,3,6,2750
50,3,7,2597
50,3,8,2742
50,3,9,2873
50,3,10,2889
50,3,15,2996
50,3,20,318
50,3,25,1063
50,4,2,2037
50,4,3,2335
50,4,4,2345
50,4,5,2490
50,4,6,2760
50,4,7,2577
50,4,8,2737
50,4,9,2881
50,4,10,2768
50,4,15,3034
50,4,20,318
50,4,25,1063
50,5,2,2010
50,5,3,2306
50,5,4,2353
50,5,5,2475
50,5,6,2517
50,5,7,2562
50,5,8,2708
50,5,9,2872
50,5,10,2760
50,5,15,2960
50,5,20,2983
50,5,25,1063
50,6,2,2037
50,6,3,2245
50,6,4,2407
50,6,5,2508
50,6,6,2531
